ct_path,psnr_db,ssim,psnr_db_floor,ssim_floor
sub-verse100_ct_0000,25.0917,0.775759,25.0559,0.767748
sub-verse755_ct_0000,26.9336,0.793570,26.8618,0.785622
sub-verse586_dir-iso_ct_0000,25.1558,0.790331,25.0031,0.671138
sub-verse650_dir-iso_ct_0000,25.4939,0.785753,25.3940,0.741345
sub-verse815_ct_0000,28.6475,0.815907,28.5440,0.769637
sub-verse081_ct_0000,35.1457,0.941637,34.9974,0.973534
sub-verse095_ct_0000,30.8489,0.899851,30.7490,0.910933
sub-verse559_ct_0000,28.1790,0.792593,28.1221,0.823520
sub-verse085_ct_0000,31.8776,0.919414,31.7846,0.944560
sub-verse648_dir-iso_ct_0000,25.3555,0.806271,25.2758,0.737635
sub-verse835_dir-iso_ct_0000,27.4419,0.842704,27.3172,0.727609
sub-verse082_ct_0000,26.4341,0.772384,26.2248,0.619928
sub-verse509_dir-iso_ct_0000,24.5809,0.777308,24.4443,0.614238
sub-verse534_dir-iso_ct_0000,26.4888,0.806016,26.3198,0.659389
sub-verse257_ct_0000,33.4177,0.934148,33.3583,0.964958
sub-verse511_dir-ax_ct_0000,26.8182,0.822509,26.6139,0.656593
sub-verse264_ct_0000,23.8843,0.691342,23.6836,0.553893
sub-verse816_ct_0000,27.5390,0.770445,27.3298,0.644604
sub-verse097_ct_0000,24.4111,0.662753,24.2762,0.570634
sub-verse113_ct_0000,31.3744,0.915697,31.2975,0.953413
sub-verse649_dir-sag_ct_0000,26.5418,0.781656,26.4757,0.789556
sub-verse539_dir-ax_ct_0000,24.3027,0.768831,24.2340,0.675866
sub-verse604_dir-iso_ct_0000,26.7131,0.815006,26.5274,0.683369
sub-verse823_dir-iso_ct_0000,25.5798,0.707092,25.4282,0.602921
sub-verse529_ct_0000,21.7582,0.705805,21.7048,0.632222
sub-verse764_dir-iso_ct_0000,25.9586,0.776824,25.9025,0.797687
sub-verse703_ct_0000,28.2000,0.825056,28.0653,0.794356
sub-verse008_ct_0000,32.9344,0.941689,32.8087,0.966376
sub-verse556_dir-ax_ct_0000,26.0227,0.804828,25.8998,0.708697
sub-verse717_ct_0000,27.0192,0.797377,26.9092,0.751937
sub-verse254_ct_0000,31.1446,0.916091,31.0901,0.945012
sub-verse563_dir-iso_ct_0000,24.2980,0.669993,24.2415,0.669300
sub-verse561_dir-sag_ct_0000,27.0269,0.826655,26.9685,0.854893
sub-verse766_dir-ax_ct_0000,24.6734,0.741326,24.6059,0.732424
sub-verse524_dir-iso_ct_0000,24.3607,0.724191,24.2645,0.644717
sub-verse033_ct_0000,29.6471,0.901490,29.5692,0.912253
sub-verse591_dir-iso_ct_0000,25.8568,0.803232,25.6889,0.631376
sub-verse135_ct_0000,25.1152,0.781133,25.0400,0.690092
sub-verse807_dir-ax_ct_0000,27.2635,0.786136,27.1655,0.721801
sub-verse054_ct_0000,35.7046,0.943088,35.5492,0.980378
sub-verse076_ct_0000,33.4615,0.933523,33.3522,0.958709
sub-verse514_dir-ax_ct_0000,26.5392,0.819608,26.3860,0.703470
sub-gl428_dir-ax_ct_0000,29.9382,0.902689,29.9064,0.947994
sub-verse612_ct_0000,26.7471,0.812345,26.5772,0.692074
sub-verse527_dir-ax_ct_0000,24.4506,0.760350,24.3016,0.604912
sub-verse569_ct_0000,27.6473,0.848858,27.4854,0.739600
sub-verse549_ct_0000,26.6765,0.776536,26.5868,0.703579
sub-verse067_ct_0000,31.0047,0.896652,30.9417,0.932607
sub-verse138_ct_0000,25.6850,0.709293,25.4652,0.605620
sub-verse053_ct_0000,32.9165,0.921002,32.8434,0.959401
