ct_path,psnr_db,ssim,psnr_db_floor,ssim_floor
sub-verse100_ct_0000,22.0113,0.611302,21.9634,0.620760
sub-verse755_ct_0000,24.1388,0.742540,24.0083,0.705309
sub-verse586_dir-iso_ct_0000,22.5907,0.667120,22.4647,0.555776
sub-verse650_dir-iso_ct_0000,22.6274,0.668210,22.5482,0.671962
sub-verse815_ct_0000,24.8935,0.704064,24.7604,0.663976
sub-verse081_ct_0000,27.4350,0.771492,27.3487,0.915269
sub-verse095_ct_0000,25.3574,0.809580,25.2283,0.833507
sub-verse559_ct_0000,24.8879,0.695541,24.7639,0.739536
sub-verse085_ct_0000,26.4008,0.806777,26.3452,0.910311
sub-verse648_dir-iso_ct_0000,23.0961,0.672597,23.0000,0.663313
sub-verse835_dir-iso_ct_0000,23.4051,0.696055,23.2982,0.604668
sub-verse082_ct_0000,23.0291,0.664118,22.8674,0.536676
sub-verse509_dir-iso_ct_0000,22.7572,0.685517,22.5965,0.533017
sub-verse534_dir-iso_ct_0000,22.5803,0.658849,22.4703,0.535253
sub-verse257_ct_0000,26.5934,0.831765,26.5316,0.924667
sub-verse511_dir-ax_ct_0000,23.0101,0.692803,22.8876,0.551199
sub-verse264_ct_0000,21.7103,0.595171,21.5145,0.462260
sub-verse816_ct_0000,24.3914,0.675880,24.1835,0.554494
sub-verse097_ct_0000,22.6664,0.602621,22.4558,0.485491
sub-verse113_ct_0000,25.7400,0.797839,25.6942,0.912538
sub-verse649_dir-sag_ct_0000,24.4778,0.693002,24.3519,0.699571
sub-verse539_dir-ax_ct_0000,21.6284,0.636300,21.5598,0.556341
sub-verse604_dir-iso_ct_0000,23.7232,0.700182,23.5764,0.585157
sub-verse823_dir-iso_ct_0000,22.0890,0.583783,21.9311,0.484373
sub-verse529_ct_0000,21.1396,0.624059,21.0584,0.552489
sub-verse764_dir-iso_ct_0000,23.4680,0.681214,23.3959,0.738080
sub-verse703_ct_0000,24.5295,0.781147,24.4234,0.732630
sub-verse008_ct_0000,26.3588,0.821558,26.3052,0.925885
sub-verse556_dir-ax_ct_0000,22.0480,0.682808,21.9411,0.562580
sub-verse717_ct_0000,23.1196,0.713190,23.0430,0.667939
sub-verse254_ct_0000,25.6324,0.817699,25.5490,0.900601
sub-verse563_dir-iso_ct_0000,22.2943,0.542265,22.1894,0.538984
sub-verse561_dir-sag_ct_0000,23.5735,0.738848,23.4612,0.767557
sub-verse766_dir-ax_ct_0000,23.2450,0.718802,23.1518,0.682414
sub-verse524_dir-iso_ct_0000,22.3512,0.638636,22.2271,0.559436
sub-verse033_ct_0000,24.9282,0.805447,24.8203,0.850513
sub-verse591_dir-iso_ct_0000,23.0594,0.714541,22.8976,0.544220
sub-verse135_ct_0000,22.4075,0.689048,22.3173,0.608236
sub-verse807_dir-ax_ct_0000,23.0839,0.682604,22.9288,0.594953
sub-verse054_ct_0000,27.6699,0.807321,27.5797,0.944916
sub-verse076_ct_0000,26.7886,0.811247,26.7320,0.918894
sub-verse514_dir-ax_ct_0000,23.7986,0.703416,23.6719,0.615808
sub-gl428_dir-ax_ct_0000,25.6860,0.810175,25.6250,0.917605
sub-verse612_ct_0000,23.2748,0.696491,23.1365,0.593093
sub-verse527_dir-ax_ct_0000,22.8565,0.675536,22.6950,0.516702
sub-verse569_ct_0000,23.3884,0.702111,23.2707,0.606068
sub-verse549_ct_0000,22.9870,0.672282,22.8320,0.585415
sub-verse067_ct_0000,25.8114,0.824749,25.7297,0.891790
sub-verse138_ct_0000,21.3717,0.539135,21.2472,0.465194
sub-verse053_ct_0000,26.3039,0.806404,26.2495,0.915688
