ct_path,psnr_db,ssim,psnr_db_floor,ssim_floor
sub-verse100_ct_0000,21.8164,0.602253,21.7818,0.593758
sub-verse755_ct_0000,23.5477,0.684971,23.4943,0.684104
sub-verse586_dir-iso_ct_0000,21.9483,0.565318,21.8997,0.531917
sub-verse650_dir-iso_ct_0000,22.8252,0.661297,22.7902,0.647410
sub-verse815_ct_0000,23.8972,0.639140,23.8488,0.625789
sub-verse081_ct_0000,26.0692,0.845032,26.0873,0.875293
sub-verse095_ct_0000,24.3995,0.821192,24.3675,0.817413
sub-verse559_ct_0000,24.2277,0.701712,24.1923,0.708124
sub-verse085_ct_0000,25.2620,0.883363,25.2375,0.886112
sub-verse648_dir-iso_ct_0000,22.5746,0.629471,22.5230,0.616177
sub-verse835_dir-iso_ct_0000,22.8156,0.591973,22.7771,0.572874
sub-verse082_ct_0000,22.3884,0.553968,22.3235,0.521095
sub-verse509_dir-iso_ct_0000,22.0219,0.541184,21.9703,0.500865
sub-verse534_dir-iso_ct_0000,21.8690,0.533595,21.8260,0.502699
sub-verse257_ct_0000,24.9392,0.909068,24.9327,0.909492
sub-verse511_dir-ax_ct_0000,22.2283,0.554395,22.1867,0.522792
sub-verse264_ct_0000,21.2539,0.434650,21.1395,0.362760
sub-verse816_ct_0000,23.5525,0.587619,23.4898,0.549699
sub-verse097_ct_0000,22.1200,0.498396,22.0140,0.446633
sub-verse113_ct_0000,24.7618,0.831940,24.7518,0.849135
sub-verse649_dir-sag_ct_0000,23.6545,0.669549,23.6230,0.669944
sub-verse539_dir-ax_ct_0000,21.1245,0.538485,21.0888,0.522317
sub-verse604_dir-iso_ct_0000,22.9763,0.587778,22.9276,0.553365
sub-verse823_dir-iso_ct_0000,21.7588,0.509276,21.7060,0.477205
sub-verse529_ct_0000,20.6851,0.557664,20.6448,0.533624
sub-verse764_dir-iso_ct_0000,23.1012,0.712614,23.0781,0.711615
sub-verse703_ct_0000,23.7235,0.725766,23.6920,0.710977
sub-verse008_ct_0000,25.3551,0.906522,25.3379,0.907937
sub-verse556_dir-ax_ct_0000,21.6772,0.567291,21.6306,0.534748
sub-verse717_ct_0000,22.4620,0.626468,22.4283,0.617563
sub-verse254_ct_0000,24.2533,0.894531,24.2330,0.893789
sub-verse563_dir-iso_ct_0000,21.9273,0.510858,21.8580,0.496205
sub-verse561_dir-sag_ct_0000,22.9306,0.760588,22.8889,0.754402
sub-verse766_dir-ax_ct_0000,22.6121,0.663580,22.5774,0.655733
sub-verse524_dir-iso_ct_0000,21.8269,0.539435,21.7338,0.506516
sub-verse033_ct_0000,24.0190,0.838958,23.9830,0.834938
sub-verse591_dir-iso_ct_0000,22.3009,0.540636,22.2593,0.512336
sub-verse135_ct_0000,22.0951,0.602561,22.0584,0.584875
sub-verse807_dir-ax_ct_0000,22.4834,0.588409,22.4113,0.561642
sub-verse054_ct_0000,25.8298,0.862507,25.8390,0.885654
sub-verse076_ct_0000,25.6450,0.896874,25.6266,0.898731
sub-verse514_dir-ax_ct_0000,22.7554,0.581851,22.7093,0.562178
sub-gl428_dir-ax_ct_0000,24.9841,0.886785,24.9576,0.890657
sub-verse612_ct_0000,22.4310,0.576625,22.3899,0.556100
sub-verse527_dir-ax_ct_0000,22.2983,0.540167,22.2442,0.495573
sub-verse569_ct_0000,22.4068,0.583080,22.3547,0.553874
sub-verse549_ct_0000,22.5163,0.571139,22.4194,0.543471
sub-verse067_ct_0000,24.7269,0.879752,24.7018,0.878184
sub-verse138_ct_0000,21.4525,0.496356,21.3901,0.463835
sub-verse053_ct_0000,25.0580,0.894787,25.0391,0.896142
